State Name,District Name,Total Literacy Rate (%),Total Literacy Rate Urban (%),Total Literacy Rate Rural (%),Total Literacy Rate Male (%),Total Literacy Rate Male Urban (%),Total Literacy Rate Male Rural (%),Total Literacy Rate Female (%),Total Literacy Rate Urban Female (%),Total Literacy Rate Rural Female (%),Education (%),Medical (%),Post Office (%),Telephone (%),Transport Communications (%),Banks (%),Agricultural  Credit Societies (%),Approach by Pucca Road (%),Total Workers (%),Total Male Workers (%),Total Female Workers (%),Total Slum Population,Slum Population (%),Rural Population (%),Urban Population (%),Total good condition households (%),Total livable condition households (%),Total dilapidated condition households (%),Rural good condition households (%),Rural livable condition households (%),Rural dilapidated condition households (%),Urban good condition households (%),Urban livable condition households (%),Urban dilapidated condition households (%),Total Material of house roof is concrete (%),Rural Material of house roof is concrete (%),Urban Material of house roof is concrete (%),Total tapwater from treated source (%),Rural tapwater from treated source (%),Urban tapwater from treated source (%),Total Location of drinking water resource (%),Rural Location of drinking water resource (%),Urban Location of drinking water resource (%),Total Electricity as Lightning Source (%),Rural Electricity as Lightning Source (%),Urban Electricity as Lightning Source (%),Total Latrine facility within premises (%),Rural Latrine facility within premises (%),Urban Latrine facility within premises (%),Total Bathroom with roof within premises (%),Rural Bathroom with roof within premises (%),Urban Bathroom with roof within premises (%),Total Bathroom without roof within premises (%),Rural Bathroom without roof within premises (%),Urban Bathroom without roof within premises (%),Total waste water outlet connect to closed drainage (%),Rural waste water outlet connect to closed drainage (%),Urban waste water outlet connect to closed drainage (%),Total waste water outlet connect to open drainage (%),Rural waste water outlet connect to open drainage (%),Urban waste water outlet connect to open drainage (%),Total Fuel Used LPG+Biogas (%),Rural Fuel Used LPG+Biogas (%),Urban Fuel Used LPG+Biogas (%),Total cooking inside house (%),Rural cooking inside house (%),Urban cooking inside house (%),Total cooking outside house (%),Rural cooking outside house (%),Urban cooking outside house (%),Total no cooking (%),Rural no cooking (%),Urban no cooking (%),Total households availing banking services (%),Rural households availing banking services (%),Urban households availing banking services (%),Total households with no assets (%),Rural households with no assets (%),Urban households with no assets (%)
Bihar,Araria,M,L,M,M,L,M,M,M,M,L,M,M,M,M,S,S,M,M,M,S,L,L,L,S,S,M,S,S,M,S,M,M,S,S,S,S,S,S,S,M,M,L,S,S,M,S,S,M,S,S,S,M,M,S,S,S,S,S,S,S,S,S,M,M,M,L,M,M,S,S,S,S,S,S,M,S,S,S
Bihar,Arwal,L,L,L,L,L,L,M,M,M,L,M,S,M,M,S,S,M,M,M,S,S,S,L,S,S,M,S,S,M,S,M,M,S,S,S,M,S,S,S,L,L,L,S,S,S,S,S,M,S,S,S,M,M,M,S,S,S,L,L,L,S,S,S,L,L,L,S,S,S,S,S,S,M,M,M,S,S,S
Bihar,Aurangabad,L,L,L,L,L,L,M,L,M,L,S,S,M,M,S,S,M,S,M,S,L,S,L,S,M,M,S,M,M,S,M,M,S,M,S,M,S,S,S,M,M,L,S,S,M,S,S,L,S,S,M,S,S,S,S,S,S,M,M,M,S,S,M,L,L,L,S,S,S,S,S,S,M,M,M,S,S,S
Bihar,Banka,M,L,M,L,L,L,M,M,M,M,S,S,M,S,S,S,S,M,M,S,S,S,L,S,S,M,S,S,M,S,M,M,S,S,S,M,S,S,S,S,S,M,S,S,M,S,S,M,S,S,S,S,S,S,S,S,S,S,S,M,S,S,S,L,L,L,S,S,S,S,S,S,M,M,M,S,S,S
Bihar,Begusarai,M,L,M,L,L,L,M,M,M,L,M,M,M,M,S,S,M,S,M,S,L,S,L,S,M,M,S,S,M,S,M,M,S,M,S,M,S,S,S,M,M,L,S,S,M,S,S,M,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,L,L,L,S,S,S,S,S,S,M,M,M,S,S,S
Bihar,Bhagalpur,M,L,M,L,L,L,M,L,M,L,S,S,M,S,S,S,M,S,M,S,S,S,L,S,M,M,S,S,M,S,M,M,S,M,M,M,S,S,S,M,M,L,S,S,L,M,S,L,S,S,M,S,S,S,S,S,S,M,S,M,S,S,M,L,L,L,S,S,S,S,S,S,M,M,M,S,S,S
Bihar,Bhojpur,L,L,L,L,L,L,M,L,M,L,M,S,M,M,S,S,L,S,M,S,L,S,L,S,M,M,S,M,M,S,M,M,S,S,S,M,S,S,S,L,L,L,S,S,M,S,S,L,S,S,M,M,M,S,S,S,S,L,L,M,S,S,M,L,L,L,S,S,S,S,S,S,M,M,L,S,S,S
Bihar,Buxar,L,L,L,L,L,L,M,L,M,L,S,S,L,M,S,S,M,S,M,S,L,S,L,S,M,M,S,S,M,S,M,M,S,S,S,M,S,S,S,L,L,L,S,S,L,S,S,L,S,S,M,M,M,S,S,S,S,L,L,M,S,S,M,L,L,L,S,S,S,S,S,S,M,M,M,S,S,S
Bihar,Darbhanga,M,L,M,L,L,M,M,L,M,L,M,S,L,M,S,M,L,S,M,S,L,S,L,S,M,M,S,M,M,S,M,M,S,S,S,M,S,S,S,M,M,L,S,S,M,S,S,L,S,S,M,S,S,S,S,S,S,S,S,M,S,S,M,L,L,L,S,S,S,S,S,S,M,M,M,S,S,S
Bihar,Gaya,M,L,M,L,L,L,M,L,M,L,S,S,M,S,S,S,M,M,M,S,L,S,L,S,S,M,S,S,M,S,M,M,S,S,S,M,S,S,S,M,M,L,S,S,L,S,S,L,S,S,M,S,S,S,S,S,M,M,M,M,S,S,M,L,L,L,S,S,S,S,S,S,M,M,L,S,S,S
Bihar,Gopalganj,M,L,M,L,L,L,M,L,M,L,S,S,M,S,S,S,M,S,M,S,L,S,L,S,M,M,S,M,M,S,M,M,S,S,S,M,S,S,S,M,M,L,S,S,M,S,S,M,S,S,M,M,M,S,S,S,S,M,M,M,S,S,M,L,L,L,S,S,S,S,S,S,M,M,M,S,S,S
Bihar,Jamui,M,L,M,L,L,L,M,M,M,M,L,S,M,S,S,S,M,M,M,S,S,S,L,S,S,M,S,S,M,S,M,M,S,S,S,M,S,S,S,S,S,M,S,S,M,S,S,M,S,S,S,S,S,S,S,S,S,S,S,M,S,S,S,L,L,L,S,S,S,S,S,S,M,M,M,S,M,S
Bihar,Jehanabad,L,L,M,L,L,L,M,L,M,L,S,S,M,M,S,S,L,S,M,S,S,S,L,S,S,M,S,S,M,S,M,M,S,S,S,M,S,S,S,M,M,L,S,S,L,S,S,L,S,S,M,S,S,S,S,S,M,M,L,M,S,S,M,L,L,L,S,S,S,S,S,S,M,M,M,S,S,S
Bihar,Kaimur (Bhabua),L,L,L,L,L,L,M,L,M,L,S,S,M,M,S,S,M,S,M,S,L,S,L,S,M,M,S,S,M,S,M,M,S,S,S,M,S,S,S,M,M,L,S,S,L,S,S,L,S,S,M,S,S,S,S,S,M,M,M,M,S,S,M,L,L,L,S,S,S,S,S,S,M,M,M,S,S,S
Bihar,Katihar,M,L,M,M,L,M,M,L,M,L,M,S,M,S,S,S,M,S,M,S,L,S,L,S,M,M,S,S,M,S,M,M,S,S,S,M,S,S,S,M,M,L,S,S,M,S,S,L,S,S,M,S,S,S,S,S,S,S,S,M,S,S,M,M,M,L,M,M,S,S,S,S,S,S,M,M,M,S
Bihar,Khagaria,M,L,M,M,L,M,M,L,M,L,L,L,L,L,S,M,L,M,M,S,L,S,L,S,S,M,S,S,M,S,M,M,S,S,S,M,S,S,S,M,M,L,S,S,M,S,S,M,S,S,M,S,S,S,S,S,S,S,S,M,S,S,M,L,L,L,S,S,S,S,S,S,S,S,M,M,M,S
Bihar,Kishanganj,M,L,M,M,L,M,M,M,M,L,M,S,M,S,S,S,L,S,M,S,L,S,L,S,M,M,S,M,M,S,M,M,S,S,S,S,S,S,S,M,M,L,S,S,M,S,S,M,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,L,M,L,S,S,S,S,S,S,M,S,S,S
Bihar,Lakhisarai,M,L,M,L,L,L,M,M,M,L,M,M,M,M,S,S,M,S,M,S,L,S,L,S,M,M,S,M,M,S,M,M,S,M,M,M,S,S,S,M,M,L,S,S,M,S,S,M,S,S,S,S,S,S,S,S,S,M,M,M,S,S,S,L,L,L,S,S,S,S,S,S,M,M,M,S,M,S
Bihar,Madhepura,M,L,M,M,L,M,M,M,M,L,M,M,M,M,S,S,L,M,M,S,L,S,L,S,S,M,S,S,M,S,M,M,S,S,S,S,S,S,S,M,M,L,S,S,M,S,S,M,S,S,S,S,S,S,S,S,S,S,S,S,S,S,M,M,M,L,M,M,S,S,S,S,S,S,M,M,M,S
Bihar,Madhubani,M,L,M,L,L,L,M,M,M,L,M,M,L,M,S,S,M,M,M,S,L,S,L,S,M,M,S,M,M,S,M,M,S,S,S,M,S,S,S,M,M,M,S,S,M,S,S,M,S,S,S,S,S,S,S,S,S,S,S,M,S,S,M,L,L,L,S,S,S,S,S,S,M,M,M,S,S,S
Bihar,Munger,L,L,M,L,L,L,M,L,M,L,M,M,L,M,S,S,L,S,M,S,L,S,L,S,M,M,S,M,M,S,M,M,S,M,M,M,S,S,S,M,M,L,M,S,L,M,S,L,S,S,M,S,S,S,S,S,S,M,M,M,S,S,M,L,L,L,S,S,S,S,S,S,M,M,L,S,S,S
Bihar,Muzaffarpur,M,L,M,L,L,L,M,L,M,L,M,S,M,M,S,S,L,S,M,S,L,S,L,S,M,M,S,S,M,S,M,M,S,S,S,M,S,S,S,M,M,L,S,S,L,S,S,L,S,S,M,S,S,S,S,S,S,M,M,M,S,S,M,L,L,L,S,S,S,S,S,S,M,M,L,S,S,S
Bihar,Nalanda,M,L,M,L,L,L,M,L,M,L,M,M,M,M,S,M,L,M,M,S,L,S,L,S,M,M,S,S,M,S,M,M,S,S,S,M,S,S,S,M,M,L,S,S,L,S,S,L,S,S,M,S,S,S,S,S,M,M,L,M,S,S,M,L,L,L,S,S,S,S,S,S,M,M,M,M,M,S
Bihar,Nawada,M,L,M,L,L,L,M,L,M,L,M,S,M,S,S,S,L,M,M,S,L,S,L,S,S,M,S,S,M,S,M,M,S,S,S,M,S,S,S,M,M,L,S,S,M,S,S,L,S,S,M,S,S,S,S,S,M,M,M,M,S,S,M,L,L,L,S,S,S,S,S,S,M,S,M,M,M,S
Bihar,Pashchim Champaran,M,L,M,M,L,M,M,M,M,L,M,S,M,S,S,S,L,M,M,S,L,S,L,S,S,M,S,S,M,S,M,M,S,S,S,M,S,S,S,M,M,L,S,S,M,S,S,M,S,S,S,S,S,S,S,S,S,S,S,M,S,S,M,L,L,L,S,S,S,S,S,S,M,M,M,S,S,S
Bihar,Patna,L,L,M,L,L,L,M,L,M,L,M,S,L,M,S,S,M,S,M,S,L,S,M,M,M,M,S,S,M,S,M,S,S,M,S,L,S,S,M,M,M,L,M,S,L,M,S,L,M,S,L,S,S,S,S,S,M,M,M,M,M,S,L,L,L,L,S,S,S,S,S,S,M,M,L,S,S,S
Bihar,Purba Champaran,M,L,M,M,L,M,M,M,M,L,M,S,M,M,S,M,L,M,M,S,L,S,L,S,M,M,S,M,M,S,M,M,S,S,S,M,S,S,S,M,M,L,S,S,M,S,S,M,S,S,M,S,S,S,S,S,S,M,S,M,S,S,M,L,L,L,S,S,S,S,S,S,M,M,M,S,S,S
Bihar,Purnia,M,L,M,M,L,M,M,L,M,L,S,S,M,M,S,S,M,M,M,S,L,S,L,S,S,M,S,S,M,S,M,M,S,S,S,M,S,S,S,M,M,L,S,S,M,S,S,M,S,S,M,S,S,S,S,S,S,S,S,S,S,S,M,M,M,L,M,M,S,S,S,S,S,S,M,M,M,S
Bihar,Rohtas,L,L,L,L,L,L,M,L,M,L,S,S,M,M,S,S,M,S,M,S,L,S,L,S,M,M,S,M,M,S,M,M,S,S,S,M,S,S,S,L,L,L,S,S,M,S,S,L,S,S,M,M,M,S,S,S,S,L,L,M,S,S,M,L,L,L,S,S,S,S,S,S,M,M,M,S,S,S
Bihar,Saharsa,M,L,M,M,L,M,M,L,M,L,M,M,L,M,S,S,M,M,M,S,L,M,L,S,S,M,S,S,M,S,M,M,S,S,S,M,S,S,S,M,M,L,S,S,M,S,S,L,S,S,M,S,S,S,S,S,S,S,S,S,S,S,M,M,M,L,M,M,S,S,S,S,M,M,M,M,M,S
Bihar,Samastipur,M,L,M,L,L,L,M,L,M,L,M,M,L,M,S,M,L,S,M,S,L,S,L,S,S,M,S,S,M,S,M,M,S,S,S,M,S,S,S,M,M,L,S,S,M,S,S,L,S,S,M,S,S,S,S,S,S,S,S,M,S,S,M,L,L,L,S,S,S,S,S,S,M,M,M,S,S,S
Bihar,Saran,M,L,M,L,L,L,M,L,M,L,M,S,M,M,S,S,L,S,M,S,L,S,L,S,M,M,S,M,M,S,M,M,S,S,S,M,S,S,S,M,M,L,S,S,M,S,S,M,S,S,M,S,S,S,S,S,S,M,M,M,S,S,M,L,L,L,S,S,S,S,S,S,M,M,L,S,S,S
Bihar,Sheikhpura,M,L,M,L,L,L,M,M,M,L,M,M,M,M,S,S,L,M,M,S,L,S,L,S,M,M,S,S,M,S,M,M,S,S,S,M,S,S,S,M,S,M,S,S,M,S,S,M,S,S,S,S,S,S,S,S,S,M,L,M,S,S,S,L,L,L,S,S,S,S,S,S,M,M,M,S,S,S
Bihar,Sheohar,M,M,M,M,L,M,M,M,M,L,L,M,L,M,S,M,L,S,M,S,S,S,L,S,M,M,S,M,M,S,M,M,S,S,S,S,S,S,S,M,M,M,S,S,S,S,S,M,S,S,S,S,S,M,S,S,S,S,S,S,S,S,S,L,L,L,S,S,S,S,S,S,M,M,M,S,S,S
Bihar,Sitamarhi,M,L,M,M,L,M,M,M,M,L,M,M,M,M,S,M,M,S,M,S,L,M,L,S,M,M,S,M,M,S,M,M,S,S,S,M,S,S,S,M,S,L,S,S,M,S,S,M,S,S,M,S,S,S,S,S,S,S,S,M,S,S,M,L,L,L,S,S,S,S,S,S,S,S,M,S,S,S
Bihar,Siwan,L,L,L,L,L,L,M,L,M,L,L,S,M,M,S,S,L,S,M,S,L,S,L,S,M,M,S,M,M,S,M,M,S,S,S,M,S,S,S,M,M,L,S,S,M,S,S,L,S,S,M,M,M,S,S,S,S,M,M,M,S,S,M,L,L,L,S,S,S,S,S,S,L,L,L,S,S,S
Bihar,Supaul,M,L,M,L,L,L,M,M,M,L,M,M,M,M,S,S,M,M,M,S,L,S,L,S,S,M,S,S,M,S,M,M,S,S,S,S,S,S,S,M,M,L,S,S,M,S,S,M,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,M,M,L,M,M,S,S,S,S,M,M,M,S,S,S
Bihar,Vaishali,M,L,M,L,L,L,M,L,M,L,M,S,L,M,S,S,L,S,M,S,L,S,L,S,S,M,S,S,M,S,M,M,S,S,S,M,S,S,S,M,M,M,S,S,M,S,S,M,S,S,M,S,S,S,S,S,S,M,M,M,S,S,M,L,L,L,S,S,S,S,S,S,M,M,M,S,S,S
Chandigarh,Chandigarh,L,L,L,L,L,L,L,L,L,L,L,M,L,L,L,M,L,M,M,S,L,S,S,L,L,S,S,M,M,S,L,S,S,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,S,S,S,L,L,L,S,S,S,L,L,L,L,L,L,S,S,S,S,S,S,L,M,L,S,S,S
Chhattisgarh,Bastar,M,L,M,M,L,M,M,L,M,L,M,S,M,M,S,S,M,M,M,M,L,S,L,S,M,M,S,M,M,S,M,M,S,S,S,S,S,S,M,S,S,M,M,M,L,S,S,M,S,S,M,S,S,S,S,S,S,S,S,M,S,S,M,L,L,L,S,S,S,S,S,S,M,M,M,S,S,S
Chhattisgarh,Bijapur,M,L,M,M,L,M,S,M,S,L,S,S,S,S,S,S,S,M,M,M,L,S,L,S,M,M,S,M,M,S,M,M,S,S,S,S,S,S,S,S,S,S,S,S,M,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,L,L,L,S,S,S,S,S,S,S,S,M,M,M,S
Chhattisgarh,Bilaspur,L,L,M,L,L,L,M,L,M,L,M,S,L,M,S,S,M,M,M,M,L,S,L,S,M,M,S,M,M,S,M,M,S,S,S,M,S,S,M,S,S,M,L,L,L,S,S,M,S,S,M,S,S,S,S,S,S,S,S,M,S,S,M,L,L,L,S,S,S,S,S,S,M,M,M,S,M,S
Chhattisgarh,Dakshin Bastar Dantewada,M,L,M,M,L,M,S,L,S,L,M,S,S,S,S,S,M,M,M,M,L,M,L,S,M,M,S,M,M,S,M,M,S,S,S,S,S,S,M,S,S,M,M,S,L,S,S,M,S,S,M,S,S,S,S,S,S,S,S,S,S,S,M,L,L,L,S,S,S,S,S,S,S,S,M,M,M,S
Chhattisgarh,Dhamtari,L,L,L,L,L,L,L,L,L,L,M,S,L,M,S,S,L,M,M,M,L,M,L,S,M,M,S,M,M,S,M,M,S,S,S,M,S,S,M,S,S,M,L,L,L,S,S,M,S,S,M,S,S,S,S,S,S,S,S,M,S,S,M,L,L,L,S,S,S,S,S,S,M,M,M,S,S,S
Chhattisgarh,Durg,L,L,L,L,L,L,L,L,M,L,M,S,L,M,S,S,L,M,M,M,L,S,M,M,M,M,S,M,M,S,L,S,S,S,S,M,S,S,M,S,S,M,L,L,L,S,S,M,S,S,M,S,S,S,S,S,S,S,S,M,S,S,M,L,L,L,S,S,S,S,S,S,M,M,M,S,S,S
Chhattisgarh,Janjgir - Champa,L,L,L,L,L,L,M,L,M,L,M,S,L,M,S,S,L,M,M,M,L,S,L,S,M,M,S,M,M,S,M,M,S,S,S,M,S,S,S,S,S,M,L,L,L,S,S,M,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,L,L,L,S,S,S,S,S,S,S,S,M,S,S,S
Chhattisgarh,Jashpur,L,L,M,L,L,L,M,L,M,L,M,S,L,M,S,S,M,M,M,M,L,S,L,S,M,M,S,M,M,S,M,M,S,S,S,S,S,S,S,S,S,M,M,M,L,S,S,M,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,L,L,L,S,S,S,S,S,S,M,M,M,M,M,S
Chhattisgarh,Kabeerdham,M,L,M,L,L,L,M,L,M,L,M,S,L,M,S,S,M,M,M,M,L,S,L,S,M,M,S,S,M,S,M,M,S,S,S,M,S,S,M,S,S,M,L,L,L,S,S,M,S,S,M,S,S,S,S,S,S,S,S,M,S,S,S,L,L,L,S,S,S,S,S,S,M,L,M,M,M,S
Chhattisgarh,Korba,L,L,M,L,L,L,M,L,M,L,M,S,M,M,S,S,M,M,M,S,L,M,M,M,M,M,S,M,M,S,L,S,S,S,S,M,S,S,M,S,S,M,L,M,L,S,S,M,S,S,M,S,S,S,S,S,S,S,S,M,S,S,M,L,L,L,S,S,S,S,S,S,M,M,M,S,M,S
Chhattisgarh,Koriya,L,L,M,L,L,L,M,L,M,L,S,S,L,M,S,S,M,M,M,M,L,S,L,S,M,M,S,M,M,S,M,M,S,S,S,M,S,S,M,S,S,M,M,M,L,S,S,M,S,S,M,S,S,S,S,S,S,S,S,M,S,S,M,L,L,L,S,S,S,S,S,S,L,L,L,M,M,S
Chhattisgarh,Mahasamund,L,L,L,L,L,L,M,L,M,L,M,S,L,M,S,S,M,M,M,M,L,M,L,S,M,M,S,M,M,S,M,M,S,S,S,M,S,S,S,S,S,M,L,L,L,S,S,M,S,S,M,S,S,S,S,S,S,S,S,M,S,S,M,L,L,L,S,S,S,S,S,S,M,M,M,S,S,S
Chhattisgarh,Narayanpur,M,L,M,M,L,M,M,L,M,L,S,S,S,S,S,S,S,M,M,M,L,S,L,S,M,M,S,M,M,S,M,M,S,S,S,S,S,S,S,S,S,M,M,S,L,S,S,M,S,S,M,S,S,S,S,S,S,S,S,S,S,S,S,L,L,L,S,S,S,S,S,S,S,S,M,M,M,S
Chhattisgarh,Raigarh,L,L,L,L,L,L,M,L,M,L,M,S,L,M,S,S,L,M,M,M,L,S,L,S,M,M,S,M,M,S,M,M,S,S,S,S,S,S,S,S,S,M,L,L,L,S,S,M,S,S,M,S,S,S,S,S,S,S,S,M,S,S,M,L,L,L,S,S,S,S,S,S,M,S,M,S,S,S
Chhattisgarh,Raipur,L,L,L,L,L,L,M,L,M,L,M,S,M,M,S,S,M,M,M,S,L,M,M,M,M,M,S,M,M,S,L,S,S,S,S,M,S,S,M,S,S,M,L,L,L,S,S,M,S,S,M,S,S,S,S,S,S,S,S,M,S,S,M,L,L,L,S,S,S,S,S,S,M,M,M,S,S,S
Chhattisgarh,Rajnandgaon,L,L,L,L,L,L,L,L,M,L,M,S,L,M,S,S,L,M,M,M,L,M,L,S,M,M,S,M,M,S,M,S,S,S,S,M,S,S,M,S,S,M,L,L,L,S,S,M,S,S,M,S,S,S,S,S,S,S,S,M,S,S,M,L,L,L,S,S,S,S,S,S,L,L,M,S,S,S
Chhattisgarh,Surguja,M,L,M,L,L,L,M,L,M,L,M,S,L,M,S,S,M,M,M,M,L,S,L,S,M,M,S,M,M,S,L,S,S,S,S,M,S,S,M,S,S,M,M,M,L,S,S,M,S,S,M,S,S,S,S,S,S,S,S,M,S,S,M,L,L,L,S,S,S,S,S,S,M,M,L,M,M,S
Chhattisgarh,Uttar Bastar Kanker,L,L,L,L,L,L,M,L,M,L,M,S,M,M,S,S,M,M,M,M,L,S,L,S,M,M,S,M,M,S,M,M,S,S,S,S,S,S,S,S,S,M,L,L,L,S,S,M,S,S,M,S,S,S,S,S,S,S,S,M,S,S,M,L,L,L,S,S,S,S,S,S,M,M,M,S,S,S
Dadra and Nagar Haveli,Dadra_&_Nagar_Haveli,L,L,M,L,L,L,M,L,M,M,M,M,M,M,S,S,M,M,M,S,S,S,M,M,L,S,S,M,M,S,L,S,S,S,S,M,S,S,M,M,S,L,L,L,L,M,S,L,M,S,L,S,S,S,S,S,M,S,S,S,M,S,L,L,L,L,S,S,S,S,S,S,M,M,L,S,M,S
Daman and Diu,Daman,L,L,L,L,L,L,L,L,L,L,L,S,L,M,S,S,L,M,L,S,S,S,S,L,M,M,S,L,S,S,M,M,S,S,S,S,M,M,M,L,L,L,L,L,L,L,M,L,L,M,L,S,S,S,M,S,M,S,S,M,M,M,M,L,L,L,S,S,S,S,S,S,M,L,M,S,S,S
Daman and Diu,Diu,L,L,L,L,L,L,L,L,M,L,L,M,L,L,M,S,L,S,M,S,S,S,M,M,L,S,S,L,S,S,L,S,S,L,L,L,L,L,L,L,L,L,L,L,L,M,M,L,L,M,L,S,S,S,S,S,M,S,S,S,M,M,L,L,L,L,S,S,S,S,S,S,L,L,L,S,S,S
Delhi,Central,L,L,S,L,L,S,L,L,S,S,S,S,S,S,S,S,S,M,M,S,S,S,S,L,M,M,S,M,M,S,M,M,S,M,M,S,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,S,S,S,L,L,L,S,S,S,L,L,L,L,L,L,S,S,S,S,S,S,L,L,M,S,S,S
Delhi,East,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,S,L,M,M,S,S,S,S,L,L,S,S,L,S,S,L,S,S,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,S,S,S,M,L,M,M,S,M,L,L,L,L,L,L,S,S,S,S,S,S,L,L,L,S,S,S
Delhi,New Delhi,L,L,S,L,L,S,L,L,S,S,S,S,S,S,S,S,S,M,M,S,S,S,S,L,L,S,S,L,S,S,L,S,S,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,S,S,S,L,L,L,S,S,S,L,L,L,L,L,L,S,S,S,S,S,S,L,L,L,S,S,S
Delhi,North,L,L,L,L,L,L,L,L,L,L,S,M,L,L,S,S,L,M,M,S,S,S,S,L,M,M,S,L,S,S,M,M,S,M,M,M,L,S,L,L,M,L,L,L,L,L,L,L,L,L,L,S,S,S,L,S,L,S,L,S,L,L,L,L,L,L,S,S,S,S,S,S,L,L,L,S,S,S
Delhi,North East,L,L,L,L,L,L,L,L,L,M,M,M,L,L,S,S,L,S,M,S,S,S,S,L,M,M,S,M,M,S,M,M,S,M,M,M,L,M,L,L,L,L,L,L,L,L,L,L,L,L,L,S,S,S,S,S,S,L,L,L,L,L,L,L,L,L,S,S,S,S,S,S,L,L,L,S,S,S
Delhi,North West,L,L,L,L,L,L,L,L,L,L,L,M,L,L,S,S,L,S,M,S,S,S,S,L,M,M,S,M,M,S,M,M,S,M,S,M,L,M,L,L,M,L,L,L,L,L,M,L,L,M,L,S,S,S,M,S,M,M,L,M,L,L,L,L,L,L,S,S,S,S,S,S,L,M,L,S,S,S
Delhi,South,L,L,L,L,L,L,L,L,L,L,L,S,L,L,S,S,L,M,M,S,S,S,S,L,L,S,S,M,M,S,L,S,S,L,M,L,M,M,M,L,L,L,L,L,L,L,L,L,L,L,L,S,S,S,M,M,M,M,M,M,L,L,L,L,L,L,S,S,S,S,S,S,L,L,L,S,S,S
Delhi,South West,L,L,L,L,L,L,L,L,L,L,M,M,L,L,S,S,L,M,M,S,S,S,S,L,L,S,S,M,M,S,L,S,S,L,S,L,L,M,L,L,L,L,L,L,L,L,L,L,L,L,L,S,S,S,M,S,L,S,L,S,L,L,L,L,L,L,S,S,S,S,S,S,L,L,L,S,S,S
Delhi,West,L,L,L,L,L,L,L,L,L,L,L,M,L,M,S,L,L,M,M,S,S,S,S,L,L,S,S,M,M,S,L,S,S,L,S,L,L,S,L,L,S,L,L,L,L,L,L,L,L,L,L,S,S,S,L,S,L,S,L,S,L,L,L,L,L,L,S,S,S,S,S,S,L,L,L,S,S,S
Goa,North Goa,L,L,L,L,L,L,L,L,L,L,M,M,L,L,S,S,L,M,M,S,L,S,M,M,L,S,S,L,S,S,L,S,S,S,S,M,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,S,S,S,M,S,M,S,S,S,L,M,L,L,L,L,S,S,S,S,S,S,L,L,L,S,S,S
Goa,South Goa,L,L,L,L,L,L,L,L,L,L,M,M,L,L,S,S,L,M,M,S,L,S,M,M,L,S,S,L,S,S,L,S,S,M,S,M,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,S,S,S,M,S,M,S,S,S,L,M,L,L,L,L,S,S,S,S,S,S,L,L,L,S,S,S
Gujarat,Ahmadabad,L,L,L,L,L,L,L,L,M,L,M,M,L,L,S,L,L,M,M,S,L,S,S,L,L,S,S,M,M,S,L,S,S,M,S,L,L,S,L,L,M,L,L,L,L,L,S,L,L,M,L,S,S,S,L,S,L,S,S,S,M,S,L,L,L,L,S,S,S,S,S,S,L,M,L,S,S,S
Gujarat,Amreli,L,L,L,L,L,L,M,L,M,L,M,M,L,L,S,M,L,M,M,S,L,S,L,S,L,S,S,L,S,S,L,S,S,M,M,M,S,S,S,M,M,L,L,L,L,M,M,L,M,M,L,S,S,S,S,S,S,S,S,M,S,S,M,L,L,L,S,S,S,S,S,S,M,M,M,S,S,S
Gujarat,Anand,L,L,L,L,L,L,L,L,L,L,L,M,L,L,S,M,L,M,M,S,L,S,L,S,M,M,S,M,M,S,L,S,S,M,S,M,M,S,L,M,M,L,L,L,L,M,M,L,M,M,L,S,S,S,S,S,M,S,S,S,M,S,L,L,L,L,S,S,S,S,S,S,M,M,L,S,S,S
Gujarat,Banas Kantha,M,L,M,L,L,L,M,L,M,L,M,S,L,L,S,L,L,M,M,S,L,S,L,S,M,M,S,M,M,S,L,S,S,S,S,M,S,S,M,M,M,L,L,L,L,S,S,L,S,S,L,S,S,S,S,S,S,S,S,M,S,S,M,M,M,L,M,M,S,S,S,S,M,M,M,S,S,S
Gujarat,Bharuch,L,L,L,L,L,L,L,L,L,L,M,M,L,L,S,S,L,M,M,S,L,S,M,M,L,S,S,M,M,S,L,S,S,S,S,M,M,S,M,M,M,L,L,L,L,M,M,L,M,M,L,S,S,S,S,S,L,S,S,S,M,S,L,L,L,L,S,S,S,S,S,S,M,M,L,S,S,S
